title,author,genre,sales,year
"It Ends with Us","Colleen Hoover","Romance",24500,2016
"The Silent Patient","Alex Michaelides","Psychological Thriller",18750,2019
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","Historical Fiction",16500,2017
"Fourth Wing","Rebecca Yarros","Fantasy",15800,2023
"Iron Flame","Rebecca Yarros","Fantasy",15200,2023
"The Last Thing He Told Me","Laura Dave","Mystery",14200,2021
"The Midnight Library","Matt Haig","Contemporary Fiction",13800,2020
"Lessons in Chemistry","Bonnie Garmus","Historical Fiction",13500,2022
"The Heaven & Earth Grocery Store","James McBride","Historical Fiction",12800,2023
"Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","Literary Fiction",12500,2022
"The Judge's List","John Grisham","Legal Thriller",12200,2021
"Atomic Habits","James Clear","Self-Help Fiction",11800,2018
"The Maid","Nita Prose","Mystery",11500,2022
"Where the Crawdads Sing","Delia Owens","Literary Fiction",11200,2018
"The Lincoln Highway","Amor Towles","Historical Fiction",10900,2021
"Project Hail Mary","Andy Weir","Science Fiction",10500,2021
"The Invisible Life of Addie LaRue","V.E. Schwab","Fantasy",10200,2020
"The Thursday Murder Club","Richard Osman","Cozy Mystery",9800,2020
"Klara and the Sun","Kazuo Ishiguro","Science Fiction",9500,2021
"Malibu Rising","Taylor Jenkins Reid","Historical Fiction",9200,2021
"The Push","Ashley Audrain","Psychological Thriller",8900,2021
"The Sanatorium","Sarah Pearse","Thriller",8600,2021
"The Four Winds","Kristin Hannah","Historical Fiction",8300,2021
"The Survivors","Jane Harper","Mystery",8000,2021
"The Song of Achilles","Madeline Miller","Historical Fiction",7800,2011
"Circe","Madeline Miller","Fantasy",7600,2018
"The Dutch House","Ann Patchett","Literary Fiction",7400,2019
"The Giver of Stars","Jojo Moyes","Historical Fiction",7200,2019
"The Testaments","Margaret Atwood","Dystopian Fiction",7000,2019
"The Water Dancer","Ta-Nehisi Coates","Historical Fiction",6800,2019
"The Starless Sea","Erin Morgenstern","Fantasy",6600,2019
"The Institute","Stephen King","Thriller",6400,2019
"The Guardians","John Grisham","Legal Thriller",6200,2019
"The Nickel Boys","Colson Whitehead","Historical Fiction",6000,2019
"The Overstory","Richard Powers","Literary Fiction",5800,2018
"The Woman in the Window","A.J. Finn","Psychological Thriller",5600,2018
"The Tattooist of Auschwitz","Heather Morris","Historical Fiction",5400,2018
"Educated","Tara Westover","Memoir Fiction",5200,2018
"Becoming","Michelle Obama","Memoir Fiction",5000,2018
"Little Fires Everywhere","Celeste Ng","Literary Fiction",4800,2017
"The Subtle Art of Not Giving a F*ck","Mark Manson","Self-Help Fiction",4600,2016
"The Girl on the Train","Paula Hawkins","Psychological Thriller",4400,2015
"The Nightingale","Kristin Hannah","Historical Fiction",4200,2015
"All the Light We Cannot See","Anthony Doerr","Historical Fiction",4000,2014
"The Martian","Andy Weir","Science Fiction",3900,2014
"Me Before You","Jojo Moyes","Romance",3800,2012
"Fifty Shades of Grey","E.L. James","Erotic Romance",3700,2011
"The Hunger Games","Suzanne Collins","Dystopian Fiction",3600,2008
"Twilight","Stephenie Meyer","Paranormal Romance",3500,2005
"The Da Vinci Code","Dan Brown","Thriller",3400,2003
"The Kite Runner","Khaled Hosseini","Literary Fiction",3300,2003
"The Book Thief","Markus Zusak","Historical Fiction",3200,2005
"The Help","Kathryn Stockett","Historical Fiction",3100,2009
"Gone Girl","Gillian Flynn","Psychological Thriller",3000,2012
"The Fault in Our Stars","John Green","Young Adult",2900,2012
"Outlander","Diana Gabaldon","Historical Romance",2800,1991
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy",2700,1997
"The Alchemist","Paulo Coelho","Philosophical Fiction",2600,1988
"The Catcher in the Rye","J.D. Salinger","Coming-of-Age",2500,1951
"To Kill a Mockingbird","Harper Lee","Southern Gothic",2400,1960
"1984","George Orwell","Dystopian Fiction",2300,1949
"The Great Gatsby","F. Scott Fitzgerald","Literary Fiction",2200,1925
"Pride and Prejudice","Jane Austen","Romance",2100,1813
"Moby Dick","Herman Melville","Adventure",2000,1851
"The Lord of the Rings","J.R.R. Tolkien","Fantasy",1900,1954
"The Shining","Stephen King","Horror",1850,1977
"It","Stephen King","Horror",1800,1986
"The Stand","Stephen King","Post-Apocalyptic",1750,1978
"Misery","Stephen King","Psychological Horror",1700,1987
"The Green Mile","Stephen King","Supernatural Fiction",1650,1996
"The Outsider","Stephen King","Crime Horror",1600,2018
"Billy Summers","Stephen King","Thriller",1550,2021
"Fairy Tale","Stephen King","Fantasy Horror",1500,2022
"Holly","Stephen King","Crime Thriller",1450,2023
"The Eyes of the Dragon","Stephen King","Fantasy",1400,1987
"Hearts in Atlantis","Stephen King","Coming-of-Age",1350,1999
"11/22/63","Stephen King","Science Fiction",1300,2011
"Under the Dome","Stephen King","Science Fiction",1250,2009
"Duma Key","Stephen King","Supernatural Thriller",1200,2008
"Lisey's Story","Stephen King","Psychological Horror",1150,2006
"Cell","Stephen King","Post-Apocalyptic",1100,2006
"Bag of Bones","Stephen King","Supernatural Fiction",1050,1998
"The Dark Tower: The Gunslinger","Stephen King","Dark Fantasy",1000,1982
"Wizard and Glass","Stephen King","Dark Fantasy",950,1997
"Wolves of the Calla","Stephen King","Dark Fantasy",900,2003
"Song of Susannah","Stephen King","Dark Fantasy",850,2004
"The Dark Tower","Stephen King","Dark Fantasy",800,2004
"The Wind Through the Keyhole","Stephen King","Dark Fantasy",750,2012
"The Drawing of the Three","Stephen King","Dark Fantasy",700,1987
"The Waste Lands","Stephen King","Dark Fantasy",650,1991
"Insomnia","Stephen King","Supernatural Fiction",600,1994
"Rose Madder","Stephen King","Supernatural Thriller",550,1995
"Desperation","Stephen King","Horror",500,1996
"The Regulators","Stephen King","Horror",450,1996
"Everything's Eventual","Stephen King","Short Stories",400,2002
"Full Dark, No Stars","Stephen King","Short Stories",350,2010
"Nightmares & Dreamscapes","Stephen King","Short Stories",300,1993
"Skin Tight","Stuart Woods","Thriller",2950,1987
"Heat Wave","Richard Castle","Mystery",2900,2015
"Naked Heat","Richard Castle","Mystery",2850,2010
"Storm Front","Jim Butcher","Urban Fantasy",2800,2000
"Fool Moon","Jim Butcher","Urban Fantasy",2750,2001
"Grave Peril","Jim Butcher","Urban Fantasy",2700,2001
"Summer Knight","Jim Butcher","Urban Fantasy",2650,2002
"Death Masks","Jim Butcher","Urban Fantasy",2600,2003
"Blood Rites","Jim Butcher","Urban Fantasy",2550,2004
"Dead Beat","Jim Butcher","Urban Fantasy",2500,2005
"Proven Guilty","Jim Butcher","Urban Fantasy",2450,2006
"White Night","Jim Butcher","Urban Fantasy",2400,2007
"Small Favor","Jim Butcher","Urban Fantasy",2350,2008
"Turn Coat","Jim Butcher","Urban Fantasy",2300,2009
"Changes","Jim Butcher","Urban Fantasy",2250,2010
"Ghost Story","Jim Butcher","Urban Fantasy",2200,2011
"Cold Days","Jim Butcher","Urban Fantasy",2150,2012
"Skin Game","Jim Butcher","Urban Fantasy",2100,2014
"Peace Talks","Jim Butcher","Urban Fantasy",2050,2020
"Battlegrounds","Jim Butcher","Urban Fantasy",2000,2023
"The Black Prism","Brent Weeks","Fantasy",1950,2010
"The Blinding Knife","Brent Weeks","Fantasy",1900,2012
"The Broken Eye","Brent Weeks","Fantasy",1850,2014
"The Blood Mirror","Brent Weeks","Fantasy",1800,2016
"The Burning White","Brent Weeks","Fantasy",1750,2019
"Red Rising","Pierce Brown","Science Fiction",1700,2014
"Golden Son","Pierce Brown","Science Fiction",1650,2015
"Morning Star","Pierce Brown","Science Fiction",1600,2016
"Iron Gold","Pierce Brown","Science Fiction",1550,2018
"Dark Age","Pierce Brown","Science Fiction",1500,2019
"The Final Empire","Brandon Sanderson","Fantasy",1450,2006
"The Well of Ascension","Brandon Sanderson","Fantasy",1400,2007
"The Hero of Ages","Brandon Sanderson","Fantasy",1350,2008
"The Way of Kings","Brandon Sanderson","Fantasy",1300,2010
"Words of Radiance","Brandon Sanderson","Fantasy",1250,2014
"Oathbringer","Brandon Sanderson","Fantasy",1200,2017
"Rhythm of War","Brandon Sanderson","Fantasy",1150,2020
"The Alloy of Law","Brandon Sanderson","Fantasy",1100,2011
"Shadows of Self","Brandon Sanderson","Fantasy",1050,2015
"The Bands of Mourning","Brandon Sanderson","Fantasy",1000,2016
"The Last Argument of Kings","Joe Abercrombie","Fantasy",950,2008
"Best Served Cold","Joe Abercrombie","Fantasy",900,2009
"The Heroes","Joe Abercrombie","Fantasy",850,2011
"Red Country","Joe Abercrombie","Fantasy",800,2012
"Half a King","Joe Abercrombie","Fantasy",750,2014
"Half the World","Joe Abercrombie","Fantasy",700,2015
"Half a War","Joe Abercrombie","Fantasy",650,2015
"A Game of Thrones","George R.R. Martin","Fantasy",600,1996
"A Clash of Kings","George R.R. Martin","Fantasy",550,1998
"A Storm of Swords","George R.R. Martin","Fantasy",500,2000
"A Feast for Crows","George R.R. Martin","Fantasy",450,2005
"A Dance with Dragons","George R.R. Martin","Fantasy",400,2011
"The Winds of Winter","George R.R. Martin","Fantasy",350,2025
"A Dream of Spring","George R.R. Martin","Fantasy",300,2027
"Eragon","Christopher Paolini","Fantasy",2900,2002
"Eldest","Christopher Paolini","Fantasy",2800,2005
"Brisingr","Christopher Paolini","Fantasy",2700,2008
"Inheritance","Christopher Paolini","Fantasy",2600,2011
"The Name of the Wind","Patrick Rothfuss","Fantasy",2500,2007
"The Wise Man's Fear","Patrick Rothfuss","Fantasy",2400,2011
"The Slow Regard of Silent Things","Patrick Rothfuss","Fantasy",2300,2014
"The Lightning Thief","Rick Riordan","Fantasy",2200,2005
"The Sea of Monsters","Rick Riordan","Fantasy",2100,2006
"The Titan's Curse","Rick Riordan","Fantasy",2000,2007
"The Battle of the Labyrinth","Rick Riordan","Fantasy",1900,2008
"The Last Olympian","Rick Riordan","Fantasy",1800,2009
"The Lost Hero","Rick Riordan","Fantasy",1700,2010
"The Son of Neptune","Rick Riordan","Fantasy",1600,2011
"The Mark of Athena","Rick Riordan","Fantasy",1500,2012
"The House of Hades","Rick Riordan","Fantasy",1400,2013
"The Blood of Olympus","Rick Riordan","Fantasy",1300,2014
"The Hidden Oracle","Rick Riordan","Fantasy",1200,2016
"The Dark Prophecy","Rick Riordan","Fantasy",1100,2017
"The Burning Maze","Rick Riordan","Fantasy",1000,2018
"The Tyrant's Tomb","Rick Riordan","Fantasy",900,2019
"The Tower of Nero","Rick Riordan","Fantasy",800,2020
"Magnus Chase and the Gods of Asgard","Rick Riordan","Fantasy",700,2015
"The Hammer of Thor","Rick Riordan","Fantasy",650,2016
"The Ship of the Dead","Rick Riordan","Fantasy",600,2017
"The Kane Chronicles: The Red Pyramid","Rick Riordan","Fantasy",550,2010
"The Kane Chronicles: The Throne of Fire","Rick Riordan","Fantasy",500,2011
"The Kane Chronicles: The Serpent's Shadow","Rick Riordan","Fantasy",450,2012
"Artemis Fowl","Eoin Colfer","Fantasy",400,2001
"The Arctic Incident","Eoin Colfer","Fantasy",350,2002
"The Eternity Code","Eoin Colfer","Fantasy",300,2003
"The Opal Deception","Eoin Colfer","Fantasy",250,2005
"The Lost Colony","Eoin Colfer","Fantasy",200,2006
"The Time Paradox","Eoin Colfer","Fantasy",150,2008
"The Atlantis Complex","Eoin Colfer","Fantasy",100,2010
"The Last Guardian","Eoin Colfer","Fantasy",50,2012
"The Hobbit","J.R.R. Tolkien","Fantasy",4500,1937
"The Fellowship of the Ring","J.R.R. Tolkien","Fantasy",4000,1954
"The Two Towers","J.R.R. Tolkien","Fantasy",3500,1954
"The Return of the King","J.R.R. Tolkien","Fantasy",3000,1955
"The Silmarillion","J.R.R. Tolkien","Fantasy",2500,1977
"Unfinished Tales","J.R.R. Tolkien","Fantasy",2000,1980
"The Children of Húrin","J.R.R. Tolkien","Fantasy",1500,2007
"Beren and Lúthien","J.R.R. Tolkien","Fantasy",1000,2017
"The Fall of Gondolin","J.R.R. Tolkien","Fantasy",500,2018
"The Adventures of Tom Bombadil","J.R.R. Tolkien","Fantasy",250,1962
"Tree and Leaf","J.R.R. Tolkien","Fantasy",200,1964
"The Road Goes Ever On","J.R.R. Tolkien","Fantasy",150,1967
"Smith of Wootton Major","J.R.R. Tolkien","Fantasy",100,1967
"Farmer Giles of Ham","J.R.R. Tolkien","Fantasy",50,1949
"Leaf by Niggle","J.R.R. Tolkien","Fantasy",25,1945
"Roverandom","J.R.R. Tolkien","Fantasy",20,1998
"The Father Christmas Letters","J.R.R. Tolkien","Fantasy",15,1976
"Mr. Bliss","J.R.R. Tolkien","Fantasy",10,1982
"The Legend of Sigurd and Gudrún","J.R.R. Tolkien","Fantasy",5,2009
"The Fall of Arthur","J.R.R. Tolkien","Fantasy",250,2013
"The Story of Kullervo","J.R.R. Tolkien","Fantasy",2,2015
"The Lay of Aotrou and Itroun","J.R.R. Tolkien","Fantasy",150,2016
"The Homecoming of Beorhtnoth Beorhthelm's Son","J.R.R. Tolkien","Fantasy",1,1953
"Sir Gawain and the Green Knight","J.R.R. Tolkien","Fantasy",50,1975
"Pearl","J.R.R. Tolkien","Fantasy",25,1975
"Sir Orfeo","J.R.R. Tolkien","Fantasy",20,1944
"The Battle of Maldon","J.R.R. Tolkien","Fantasy",15,1936
"The Battle of Brunanburh","J.R.R. Tolkien","Fantasy",10,1938
"The Death of Saint Brendan","J.R.R. Tolkien","Fantasy",5,1929
"The Death of King Sverre","J.R.R. Tolkien","Fantasy",2,1929